,hero_name,stat_name,stat_category
859,Zenyatta,Self Healing Percent of Damage Taken,some_shared
860,Zenyatta,Shots Fired,some_shared
861,Zenyatta,Shots Hit,some_shared
862,Zenyatta,Shots Missed,some_shared
863,Zenyatta,Time Alive,general
864,Zenyatta,Time Building Ultimate,general
865,Zenyatta,Time Elapsed per Ultimate Earned,general
866,Zenyatta,Time Hacked,some_shared
867,Zenyatta,Time Holding Ultimate,general
868,Zenyatta,Time Played,general
869,Zenyatta,Transcendence Efficiency,hero_specific
870,Zenyatta,Transcendence Healing,hero_specific
871,Zenyatta,Transcendence Percent of Healing,hero_specific
872,Zenyatta,Ultimates Earned - Fractional,general
873,Zenyatta,Ultimates Used,general
874,Zenyatta,Weapon Accuracy,some_shared
903,Echo,Assists,general
905,Echo,Barrier Damage Done,general
908,Echo,Damage - Duplicate,hero_specific
909,Echo,Damage - Focusing Beam,hero_specific
910,Echo,Damage - Focusing Beam - Bonus Damage Only,hero_specific
915,Echo,Duplicate Kills,hero_specific
916,Echo,Eliminations,general
917,Echo,Final Blows,general
918,Echo,Focusing Beam Accuracy,hero_specific
919,Echo,Focusing Beam Dealing Damage Seconds,hero_specific
920,Echo,Focusing Beam Kills,hero_specific
921,Echo,Focusing Beam Seconds,hero_specific
924,Echo,Objective Kills,general
925,Echo,Objective Time,general
933,Echo,Sticky Bombs Kills,hero_specific
938,Echo,Time Hacked,some_shared
939,Echo,Time Holding Ultimate,general
942,Echo,Ultimates Used,general
959,Sombra,Multikills,general
977,Symmetra,Quick Melee Ticks,some_shared
990,Tracer,Critical Hit Kills,some_shared
1019,Tracer,Solo Kills,general
1055,Ashe,All Damage Done,general
1056,Ashe,Assists,general
1057,Ashe,Average Time Alive,general
1058,Ashe,Barrier Damage Done,general
1059,Ashe,Bob Gun Damage,hero_specific
1060,Ashe,Bob Kills,hero_specific
1061,Ashe,Critical Hit Accuracy,some_shared
1062,Ashe,Critical Hits,some_shared
1063,Ashe,Damage - Bob,hero_specific
1064,Ashe,Damage - Bob Charge,hero_specific
1065,Ashe,Damage - Coach Gun,hero_specific
1066,Ashe,Damage - Dynamite,hero_specific
1067,Ashe,Damage - Weapon,some_shared
1068,Ashe,Damage - Weapon Scoped,some_shared
1069,Ashe,Damage Taken,general
1070,Ashe,Deaths,general
1071,Ashe,Dynamite Kills,hero_specific
1072,Ashe,Eliminations,general
1073,Ashe,Environmental Deaths,some_shared
1074,Ashe,Final Blows,general
1075,Ashe,Healing Received,general
1076,Ashe,Hero Damage Done,general
1077,Ashe,Objective Kills,general
1078,Ashe,Objective Time,general
1079,Ashe,Players Knocked Back,some_shared
1080,Ashe,Quick Melee Ticks,some_shared
1081,Ashe,Scoped Accuracy,some_shared
1082,Ashe,Scoped Critical Hit Accuracy,some_shared
1083,Ashe,Scoped Critical Hits,some_shared
1084,Ashe,Scoped Hits,some_shared
1085,Ashe,Scoped Shots,some_shared
1086,Ashe,Shots Fired,some_shared
1087,Ashe,Shots Hit,some_shared
1088,Ashe,Shots Missed,some_shared
1089,Ashe,Solo Kills,general
1090,Ashe,Time Alive,general
1091,Ashe,Time Building Ultimate,general
